Time,Voltage,Current,Power,State
5.0,0.88,44.1,6,DRY_RUN
6.0,0.96,36.56,14,DRY_RUN
8.0,0.84,34.09,20,DRY_RUN
9.0,0.81,35.21,14,DRY_RUN
10.0,0.9,36.61,52,DRY_RUN
11.0,0.88,41.7,4,DRY_RUN
12.0,0.88,38.33,30,DRY_RUN
13.0,0.89,40.73,72,DRY_RUN
14.0,0.88,32.41,30,DRY_RUN
15.0,0.87,44.47,40,DRY_RUN
16.0,0.88,42.47,56,DRY_RUN
17.0,0.88,28.5,96,DRY_RUN
18.0,0.88,41.28,22,DRY_RUN
19.0,0.88,37.9,10,DRY_RUN
20.0,0.88,28.74,6,DRY_RUN
21.0,0.88,34.53,30,DRY_RUN
22.0,0.88,30.76,20,DRY_RUN
23.0,0.88,42.77,52,DRY_RUN
25.0,0.88,42.79,4,DRY_RUN
26.0,0.88,43.97,86,DRY_RUN
27.0,0.88,30.0,52,DRY_RUN
28.0,0.88,30.22,0,DRY_RUN
29.0,0.88,29.17,6,DRY_RUN
30.0,0.87,31.88,16,DRY_RUN
31.0,0.88,35.32,86,DRY_RUN
32.0,0.88,21.23,46,DRY_RUN
33.0,0.88,39.27,6,DRY_RUN
34.0,0.88,23.28,4,DRY_RUN
35.0,0.88,23.04,36,DRY_RUN
36.0,0.88,34.07,42,DRY_RUN
37.0,0.88,55.6,22,DRY_RUN
38.0,0.88,48.09,14,DRY_RUN
39.0,0.88,51.94,20,DRY_RUN
40.0,0.88,41.89,0,DRY_RUN
41.0,0.88,49.66,58,DRY_RUN
43.0,0.88,59.76,0,DRY_RUN
44.0,0.88,49.16,66,DRY_RUN
45.0,0.88,26.12,50,DRY_RUN
46.0,0.88,38.54,92,DRY_RUN
47.0,0.88,38.18,10,DRY_RUN
48.0,0.88,40.71,86,DRY_RUN
49.0,0.88,19.72,40,DRY_RUN
50.0,0.87,37.67,30,DRY_RUN
51.0,0.87,28.68,16,DRY_RUN
52.0,0.89,36.04,58,DRY_RUN
53.0,0.87,23.55,82,DRY_RUN
54.0,0.88,43.16,6,DRY_RUN
55.0,0.88,34.15,4,DRY_RUN
56.0,0.89,39.15,78,DRY_RUN
57.0,0.88,21.09,40,DRY_RUN
58.0,0.88,36.6,10,DRY_RUN
60.0,0.89,37.91,20,DRY_RUN
61.0,0.89,36.18,56,DRY_RUN
62.0,0.94,49.06,50,DRY_RUN
63.0,0.77,38.18,6,DRY_RUN
64.0,0.84,35.99,10,DRY_RUN
65.0,0.96,37.94,92,DRY_RUN
66.0,0.84,35.12,42,DRY_RUN
67.0,0.88,43.78,10,DRY_RUN
68.0,0.88,48.78,26,DRY_RUN
69.0,0.88,45.11,20,DRY_RUN
70.0,0.76,62.79,30,DRY_RUN
71.0,0.85,36.69,6,DRY_RUN
72.0,0.89,32.68,40,DRY_RUN
73.0,0.85,41.58,40,DRY_RUN
74.0,0.7,50.88,6,DRY_RUN
